,count
Pro-Police Group (United States),99
Sons of Confederate Veterans,4
Civilians (United States),24
Christian Group (United States),3
Yavapai County Preparedness Team,1
White Nationalists (United States),3
Groypers,1
Mohave County Militia,1
Blue Lives Matter,19
Proud Boys,14
Defend East County,1
GOP: Republican Party,1
Journalists (United States),2
Government of the United States (2017-2021),9
Police Forces of the United States (2017-2021),6
Back the Blue,24
Women (United States),1
Three Percenters (III%),7
Sole Perpetrator (United States),13
Police Forces of the United States (2017-2021) Secret Service,2
League of the South,1
Black Hebrew Israelites,1
Military Forces of the United States (2017-2021) National Guard,7
III% Security Force,2
ILD: Idaho Liberty Dogs,1
III% American Patriots,1
Unidentified Communal Militia (United States),10
Catholic Christian Group (United States),2
Police Forces of the United States (2017-2021) Prison Guards,1
Michigan Militia of Love,1
Police Forces of the United States (2021-),1
Government of the United States (2021-),1
WLM: White Lives Matter,2
KKK: Ku Klux Klan,5
QAnon,1
Setauket Patriots,1
Judges (United States),1
ACTBAC: Alamance County Taking Back Alamance County,1
Police Forces of the United States (2017-2021) Federal Bureau of Investigation,1
Police Forces of the United States (2017-2021) Department of Homeland Security,1
Unidentified Armed Group (United States),1
Tea Party,1
One Republic Militia,1
Military Forces of the United States (2017-2021),1
Protesters (United States),1
TITFF: This is Texas Freedom Force,1
Civilized Awakening,1
Private Security Forces (United States),1
American Patriot Riders,1
Mountain Man Militia,1
Patriot Prayer,1
Kenosha Guard Militia,1
