,count
PETA: People for the Ethical Treatment of Animals,46
SCLC: Southern Christian Leadership Conference,9
Government of the United States (2021-),442
DEM: Democratic Party,111
African American Group (United States),422
Protestant Christian Group (United States),175
AAWC: Adelante Alabama Worker Center,2
Police Forces of the United States (2021-),51
Labour Group (United States),1764
UFCW: United Food and Commercial Workers,32
BLM: Black Lives Matter,10918
Fight for 15,48
UMWA: United Mine Workers of America,26
Students (United States),2529
TPUSA: Turning Point USA,10
Women (United States),1132
Health Workers (United States),833
Cancel the Rents Movement,266
Teachers (United States),728
Cuban Group (United States),167
LGBT (United States),338
PSL: Party for Socialism and Liberation,116
NAACP: National Association for the Advancement of Colored People,154
SDA: Students Demand Action,2
Palestinian Group (United States),119
BVM: Black Voters Matter,17
Stop Asian Hate,441
Abolish ICE,72
GOP: Republican Party,171
Latinx Group (United States),221
Back the Blue,286
Christian Group (United States),253
Nigerian Group (United States),13
Pro-Police Group (United States),319
Former Military Forces of the United States (2017-2021),41
Police Forces of the United States (2017-2021),101
Save Our Children,98
NNU: National Nurses United,134
Refuse Fascism,69
LWV: League of Women Voters,33
Former Government of the United States (2017-2021),9
Lawyers (United States),29
Government of the United States (2017-2021),268
APSP: African People's Socialist Party,4
ICE Detainees (International),18
Native American Group (United States),154
Tlingit Tribal Group (United States),1
Armenian Group (United States),62
Hia-Ced O'odham Tribal Group (United States),3
Catholic Christian Group (United States),109
Unite Here,99
Former Military Forces of the United States (2021-),53
AFL-CIO: American Federation of Labor and Congress of Industrial Organizations,65
CWA: Communications Workers of America,20
Sierra Club,21
FNB: Food Not Bombs,6
Apache Tribal Group (United States),1
Folksfront Resistance,2
Jewish Group (United States),95
Police Forces of the United States (2021-) Prison Guards,5
Blue Lives Matter,41
WFP: Working Families Party,3
Anarchist Group (United States),18
Unidentified Communal Militia (United States),21
Afghan Group (United States),36
Proud Boys,150
Indivisible Movement,123
LULAC: League of United Latin American Citizens,4
VOP: Veterans on Patrol,1
Tea Party,12
"MMI: Missing and Murdered Indigenous Women, Girls, and Relatives",30
Navajo Tribal Group (United States),5
Military Forces of the United States (2021-),1
NSM: National Socialist Movement,6
Oath Keepers,8
March for Our Lives,13
Boogaloo Boys,35
Three Percenters (III%),28
Tohono O'Odham Tribal Group (United States),9
Interfaith Group (United States),64
"IATSE: International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States",16
Pax Christi,2
Protesters (International),1
Prisoners (United States),40
928 Militia,1
DREAMers Movement (United States),15
Yavapai Apache Tribal Group (United States),4
CP: CodePink,20
USW: United Steelworkers,20
MDA: Moms Demand Action for Gun Sense in America,26
Asian American Group (United States),50
SAP: Socialist Alternative Party,8
ACLU: American Civil Liberties Union,20
QAnon,44
Evangelical Christian Group (United States),25
KKK: Ku Klux Klan,2
Farmers (United States),25
RTL: Right To Life,49
IBT: International Brotherhood of Teamsters,67
Freedom Angels,1
WLM: White Lives Matter,16
SEIU: Service Employees International Union,251
DXE: Direct Action Everywhere,13
Pashtun Ethnic Group (United States),1
Kazakh Group (United States),2
ANSWER: Act Now to Stop War and End Racism,26
Chilean Group (United States),1
"BCTGM: Bakery, Confectionery, Tobacco Workers and Grain Millers Union",15
Poor People's Campaign,68
GDL: Goyim Defense League,11
AFSC: American Friends Service Committee,5
UFW: United Farm Workers of America,13
Pit River Tribal Group (United States),2
"AFSCME: American Federation of State, County and Municipal Employees",22
PP: Planned Parenthood,27
Vietnamese Group (United States),5
Ethiopian Group (United States),18
Cops Off Campus,2
Choinumni Tribal Group (United States),1
Indian Group (United States),30
White Nationalists (United States),19
Lakota Tribal Group (United States),3
CHIRLA: Coalition for Humane Immigrant Rights of Los Angeles,6
Sudanese Group (United States),2
Cahulla Tribal Group (United States),1
AIM: American Indian Movement,11
Iranian Group (United States),16
AFT: American Federation of Teachers,19
Haitian Group (United States),21
Kumeyaay Tribal Group (United States),10
SM: Sunrise Movement,110
California Valley Patriots,1
UdB: Union del Barrio,2
Pascua Yaqui Tribal Group (United States),1
Let Them Breathe,9
Indian Canyon Mutsun Tribal Group (United States),1
California State Militia,3
WTP: We the People,13
Occupy Movement,55
Nurses4Freedom,2
FRSO: Freedom Road Socialist Organization,7
IWW: Industrial Workers of the World,5
AWU: Airport Workers United,1
Hmong Ethnic Group (United States),6
Coyote Valley Tribal Group (United States),4
Groypers,8
JVP: Jewish Voice for Peace,9
DSA: Democratic Socialists of America,88
Ktown for All,2
Brady Campaign to Prevent Gun Violence,1
Arab Ethnic Group (United States),8
Sikh Group (United States),28
Round Valley Tribal Group (United States),1
IUOE: International Union of Operating Engineers,1
Muslim Group (United States),31
Colombian Group (United States),12
Extinction Rebellion,52
Unitarian Universalist Group (United States),13
Cottonwood Militia,1
Chinese Group (United States),17
Thai Group (United States),3
Journalists (United States),11
NAN: National Action Network,12
Muwekma Ohlone Tribal Group (United States),1
Former Government of the United States (2021-),15
Burmese Group (United States),55
Anakbayan,1
AZDG: Arizona Desert Guardians,2
Civilians (United States),16
Chumash Tribal Group (United States),2
Mexican Group (United States),7
Our Revolution,10
Yemeni Group (United States),4
Antifa (United States),48
FSP: Freedom Socialist Party,2
Tigray Ethnic Group (United States),17
State of Jefferson Movement,3
WAF: Women for America First,12
Private Security Forces (United States),1
AFA: Association of Flight Attendants,5
APWU: American Postal Workers Union,45
Azerbaijani Ethnic Group (United States),2
Miwok Tribal Group (United States),1
