index,location,month,actor,event_sub_type
0,1.097,1,0.1,1
1,1.125,1,0.2,1
2,1.073,1,0.3,1
3,1.101,1,0.4,1
4,1.097,1,0.5,1
5,1.089,1,0.6,1
6,1.015,1,0.5,1
7,1.101,1,0.5,1
8,1.097,1,0.5,1
9,1.097,12,0.7,1
10,1.073,12,0.8,1
11,1.073,12,0.9,1
12,1.097,12,1.0,1
13,1.073,12,1.1,1
14,1.095,11,1.2,1
15,1.073,11,1.3,2
16,1.073,11,1.4,1
17,1.125,11,1.5,1
18,1.073,11,0.7,1
19,1.081,11,1.6,1
20,1.097,10,1.1,1
21,1.101,10,1.1,1
22,1.081,10,1.7,1
23,1.103,10,1.1,1
24,1.101,10,0.5,1
25,1.069,10,0.5,1
26,1.003,10,1.8,1
27,1.073,10,1.9,1
28,1.015,10,1.8,1
29,1.097,10,2.0,1
30,1.081,10,2.1,1
31,1.089,10,2.2,1
32,1.097,10,1.8,1
33,1.069,10,2.3,1
34,1.081,9,2.4,1
35,1.081,9,2.4,1
36,1.073,9,2.5,1
37,1.073,9,2.6,1
38,1.073,9,1.6,1
39,1.073,8,2.6,1
40,1.097,8,0.5,1
41,1.051,8,0.5,1
42,1.089,8,0.5,1
43,1.095,8,0.5,1
44,1.003,8,0.5,3
45,1.003,8,0.5,3
46,1.101,8,2.7,1
47,1.125,8,1.5,1
48,1.073,8,1.3,1
49,1.089,8,0.5,1
50,1.101,8,2.8,1
51,1.073,7,0.5,3
52,1.097,7,0.5,1
53,1.097,7,0.5,1
54,1.097,7,1.6,1
55,1.089,7,1.3,2
56,1.073,7,2.9,1
57,1.073,7,1.5,1
58,1.089,7,3.0,1
59,1.101,7,3.1,1
60,1.089,7,0.5,1
61,1.073,7,1.5,1
62,1.125,7,1.5,4
63,1.073,7,1.5,1
64,1.087,7,3.2,3
65,1.073,6,3.3,1
66,1.097,6,0.5,5
67,1.101,6,3.4,1
68,1.073,6,1.5,1
69,1.073,6,3.5,1
70,1.101,6,3.6,1
71,1.073,6,1.5,1
72,1.125,6,1.5,1
73,1.073,6,3.7,1
74,1.073,6,0.5,1
75,1.073,6,1.5,1
76,1.125,6,1.5,4
77,1.095,6,0.5,1
78,1.101,6,3.8,1
79,1.073,6,3.9,1
80,1.125,6,0.2,1
81,1.125,6,1.5,4
82,1.125,6,3.6,1
83,1.089,6,1.3,1
84,1.073,6,1.5,1
85,1.101,5,0.5,6
86,1.003,5,0.5,3
87,1.089,5,1.3,1
88,1.097,5,4.0,1
89,1.089,5,0.5,7
90,1.003,5,0.5,3
91,1.073,5,3.6,1
92,1.125,5,1.5,1
93,1.125,5,1.5,2
94,1.073,5,4.1,1
95,1.089,5,4.2,1
96,1.073,5,4.3,1
97,1.073,5,0.7,1
98,1.101,5,4.4,1
99,1.101,5,4.5,1
100,1.125,5,4.6,1
101,1.073,5,4.7,1
102,1.073,5,4.7,1
103,1.095,5,4.8,1
104,1.089,5,4.9,1
105,1.073,5,1.5,1
106,1.101,5,5.0,1
107,1.073,5,5.1,1
108,1.047,5,5.2,1
109,1.125,5,1.3,1
110,1.101,5,0.5,1
111,1.069,5,0.7,1
112,1.073,5,0.5,8
113,1.073,5,4.6,1
114,1.101,5,1.3,1
115,1.069,4,0.5,1
116,1.073,4,5.3,1
117,1.089,4,5.4,1
118,1.081,4,3.7,1
119,1.073,4,1.5,1
120,1.089,4,5.5,1
121,1.097,4,5.6,1
122,1.073,4,5.7,1
123,1.089,4,1.3,1
124,1.125,4,1.5,1
125,1.101,4,0.7,1
126,1.101,4,0.5,1
127,1.097,4,5.8,1
128,1.073,4,5.1,1
129,1.047,4,0.5,1
130,1.081,4,5.9,1
131,1.073,4,6.0,1
132,1.081,4,6.1,1
133,1.125,4,4.6,1
134,1.047,4,0.5,1
135,1.073,4,1.2,1
136,1.125,4,4.6,1
137,1.073,4,6.2,1
138,1.073,4,0.5,3
139,1.125,4,4.6,1
140,1.101,3,6.3,1
141,1.083,3,6.4,1
142,1.073,3,6.5,1
143,1.101,3,0.5,1
144,1.073,3,6.6,1
145,1.055,3,6.7,1
146,1.073,3,6.8,1
147,1.073,3,6.9,1
148,1.073,3,7.0,1
149,1.083,3,0.5,3
150,1.073,3,7.1,1
151,1.103,3,0.5,1
152,1.047,3,0.5,9
153,1.073,3,1.3,1
154,1.073,3,7.2,1
155,1.101,3,7.3,1
156,1.097,3,7.4,1
157,1.073,3,7.5,1
158,1.097,3,1.6,1
159,1.125,3,0.5,3
160,1.101,3,7.6,1
161,1.077,3,0.5,1
162,1.047,2,1.6,1
163,1.095,2,3.7,1
164,1.127,2,0.5,7
165,1.073,2,1.1,1
166,1.089,2,1.1,1
167,1.097,2,2.8,1
168,1.101,2,1.6,1
169,1.087,2,3.6,1
170,1.073,2,7.7,1
171,1.031,2,1.6,1
172,1.081,2,1.6,1
173,1.073,2,1.1,1
174,1.097,2,0.5,3
175,1.083,1,1.3,1
176,1.089,1,1.3,1
177,1.103,1,7.8,1
178,1.097,1,0.5,1
179,1.031,1,7.9,1
180,1.077,1,8.0,1
181,1.003,1,0.5,1
182,1.097,1,1.3,1
183,1.125,1,1.3,1
184,1.089,1,1.3,1
185,1.097,1,1.3,1
186,1.101,1,0.5,6
187,1.089,1,1.3,1
188,1.089,1,4.0,1
189,1.101,1,2.8,1
190,1.101,1,0.5,1
191,1.073,1,8.1,1
192,1.101,1,0.5,7
193,1.073,12,1.6,1
194,1.095,12,0.5,1
195,1.125,12,0.5,1
196,1.055,12,0.5,1
197,1.033,12,1.1,1
198,1.003,12,8.2,1
199,1.095,12,1.3,1
200,1.097,12,8.3,1
201,1.095,12,0.5,6
202,1.055,12,0.5,1
203,1.073,11,1.1,1
204,1.055,11,0.5,1
205,1.095,11,0.5,1
206,1.101,11,1.3,1
207,1.101,11,2.8,1
208,1.081,11,1.6,1
209,1.007,11,0.5,1
210,1.095,11,0.5,1
211,1.089,11,1.3,1
212,1.125,11,1.6,1
213,1.095,11,0.5,1
214,1.055,11,0.5,5
215,1.055,11,1.3,1
216,1.097,11,0.5,1
217,1.101,11,0.5,1
218,1.089,11,1.3,1
219,1.089,11,0.5,2
220,1.089,10,1.3,1
221,1.095,10,1.3,1
222,1.095,10,1.3,1
223,1.073,10,1.3,1
224,1.073,10,3.6,1
225,1.089,10,1.3,1
226,1.101,10,8.4,1
227,1.077,10,8.5,1
228,1.101,10,4.0,1
229,1.113,10,8.6,1
230,1.069,10,0.5,1
231,1.047,10,8.7,1
232,1.089,10,1.6,1
233,1.073,10,1.1,1
234,1.101,10,8.8,1
235,1.089,10,1.8,1
236,1.097,10,1.8,1
237,1.003,10,0.5,1
238,1.097,10,5.2,1
239,1.095,10,1.3,1
240,1.095,10,1.3,1
241,1.101,10,8.9,1
242,1.125,10,0.5,1
243,1.089,10,1.3,1
244,1.097,10,9.0,1
245,1.101,10,9.1,1
246,1.097,10,0.5,1
247,1.089,10,1.3,1
248,1.055,10,9.2,1
249,1.073,9,9.3,1
250,1.073,9,1.3,1
251,1.097,9,9.4,1
252,1.055,9,0.5,1
253,1.083,9,0.5,1
254,1.095,9,1.3,1
255,1.073,9,1.1,1
256,1.125,9,9.4,1
257,1.121,9,6.0,1
258,1.051,9,0.5,1
259,1.077,9,0.5,1
260,1.111,9,0.5,1
261,1.051,9,9.1,1
262,1.095,9,1.3,1
263,1.089,9,0.5,1
264,1.003,9,9.5,1
265,1.125,9,9.6,1
266,1.101,9,0.5,1
267,1.125,9,0.5,1
268,1.089,9,0.5,3
269,1.097,9,0.5,1
270,1.089,9,1.3,1
271,1.117,9,0.5,1
272,1.051,9,0.5,1
273,1.089,9,9.7,1
274,1.089,9,9.8,1
275,1.125,8,9.9,1
276,1.103,8,0.5,1
277,1.097,8,10.0,1
278,1.101,8,10.1,1
279,1.097,8,10.2,1
280,1.101,8,1.3,1
281,1.095,8,0.5,1
282,1.089,8,0.5,1
283,1.003,8,9.4,1
284,1.097,8,9.4,1
285,1.101,8,0.5,1
286,1.089,8,8.3,1
287,1.101,8,0.5,1
288,1.125,8,1.3,1
289,1.125,8,1.3,1
290,1.055,8,1.3,1
291,1.073,8,0.5,2
292,1.089,8,10.3,1
293,1.089,8,0.5,1
294,1.095,8,0.5,1
295,1.073,8,0.5,1
296,1.055,8,1.3,1
297,1.089,8,0.5,1
298,1.073,8,1.6,1
299,1.101,8,0.5,1
300,1.051,8,9.5,1
301,1.077,8,1.3,1
302,1.077,7,0.5,1
303,1.077,7,0.5,1
304,1.089,7,1.3,1
305,1.097,7,0.5,1
306,1.073,7,1.3,2
307,1.101,7,1.3,2
308,1.077,7,0.5,1
309,1.073,7,1.3,2
310,1.077,7,0.5,1
311,1.101,7,2.8,1
312,1.089,7,0.5,1
313,1.089,7,1.3,1
314,1.089,7,1.3,1
315,1.101,7,1.3,1
316,1.089,7,1.3,1
317,1.077,7,0.5,1
318,1.089,7,1.3,1
319,1.089,7,0.5,1
320,1.127,7,0.5,1
321,1.103,7,0.5,1
322,1.069,7,10.4,1
323,1.103,7,0.5,1
324,1.073,7,10.5,1
325,1.073,7,0.5,1
