,location,month,actor,event_sub_type
0,1.097,1,1,1
1,1.125,1,2,1
2,1.073,1,3,1
3,1.101,1,4,1
4,1.097,1,5,1
5,1.089,1,6,1
6,1.015,1,5,1
7,1.101,1,5,1
8,1.097,1,5,1
9,1.097,12,7,1
10,1.073,12,8,1
11,1.073,12,9,1
12,1.097,12,10,1
13,1.073,12,11,1
14,1.095,11,12,1
15,1.073,11,13,2
16,1.073,11,14,1
17,1.125,11,15,1
18,1.073,11,7,1
19,1.081,11,16,1
20,1.097,10,11,1
21,1.101,10,11,1
22,1.081,10,17,1
23,1.103,10,11,1
24,1.101,10,5,1
25,1.069,10,5,1
26,1.003,10,18,1
27,1.073,10,19,1
28,1.015,10,18,1
29,1.097,10,20,1
30,1.081,10,21,1
31,1.089,10,22,1
32,1.097,10,18,1
33,1.069,10,23,1
34,1.081,9,24,1
35,1.081,9,24,1
36,1.073,9,25,1
37,1.073,9,26,1
38,1.073,9,16,1
39,1.073,8,26,1
40,1.097,8,5,1
41,1.051,8,5,1
42,1.089,8,5,1
43,1.095,8,5,1
44,1.003,8,5,3
45,1.003,8,5,3
46,1.101,8,27,1
47,1.125,8,15,1
48,1.073,8,13,1
49,1.089,8,5,1
50,1.101,8,28,1
51,1.073,7,5,3
52,1.097,7,5,1
53,1.097,7,5,1
54,1.097,7,16,1
55,1.089,7,13,2
56,1.073,7,29,1
57,1.073,7,15,1
58,1.089,7,30,1
59,1.101,7,31,1
60,1.089,7,5,1
61,1.073,7,15,1
62,1.125,7,15,4
63,1.073,7,15,1
64,1.087,7,32,3
65,1.073,6,33,1
66,1.097,6,5,5
67,1.101,6,34,1
68,1.073,6,15,1
69,1.073,6,35,1
70,1.101,6,36,1
71,1.073,6,15,1
72,1.125,6,15,1
73,1.073,6,37,1
74,1.073,6,5,1
75,1.073,6,15,1
76,1.125,6,15,4
77,1.095,6,5,1
78,1.101,6,38,1
79,1.073,6,39,1
80,1.125,6,2,1
81,1.125,6,15,4
82,1.125,6,36,1
83,1.089,6,13,1
84,1.073,6,15,1
85,1.101,5,5,6
86,1.003,5,5,3
87,1.089,5,13,1
88,1.097,5,40,1
89,1.089,5,5,7
90,1.003,5,5,3
91,1.073,5,36,1
92,1.125,5,15,1
93,1.125,5,15,2
94,1.073,5,41,1
95,1.089,5,42,1
96,1.073,5,43,1
97,1.073,5,7,1
98,1.101,5,44,1
99,1.101,5,45,1
100,1.125,5,46,1
101,1.073,5,47,1
102,1.073,5,47,1
103,1.095,5,48,1
104,1.089,5,49,1
105,1.073,5,15,1
106,1.101,5,50,1
107,1.073,5,51,1
108,1.047,5,52,1
109,1.125,5,13,1
110,1.101,5,5,1
111,1.069,5,7,1
112,1.073,5,5,8
113,1.073,5,46,1
114,1.101,5,13,1
115,1.069,4,5,1
116,1.073,4,53,1
117,1.089,4,54,1
118,1.081,4,37,1
119,1.073,4,15,1
120,1.089,4,55,1
121,1.097,4,56,1
122,1.073,4,57,1
123,1.089,4,13,1
124,1.125,4,15,1
125,1.101,4,7,1
126,1.101,4,5,1
127,1.097,4,58,1
128,1.073,4,51,1
129,1.047,4,5,1
130,1.081,4,59,1
131,1.073,4,60,1
132,1.081,4,61,1
133,1.125,4,46,1
134,1.047,4,5,1
135,1.073,4,12,1
136,1.125,4,46,1
137,1.073,4,62,1
138,1.073,4,5,3
139,1.125,4,46,1
140,1.101,3,63,1
141,1.083,3,64,1
142,1.073,3,65,1
143,1.101,3,5,1
144,1.073,3,66,1
145,1.055,3,67,1
146,1.073,3,68,1
147,1.073,3,69,1
148,1.073,3,70,1
149,1.083,3,5,3
150,1.073,3,71,1
151,1.103,3,5,1
152,1.047,3,5,9
153,1.073,3,13,1
